method,time
RSR,0.00024080276489257812
Standard,0.00030994415283203125
RSR,0.00020122528076171875
Standard,0.0006293321722382479
RSR,0.0002052783966064453
Standard,0.00035834312438964844
RSR,0.00019669532775878906
Standard,0.00018518154780781937
RSR,0.0002155303955078125
Standard,0.00014031377991211968
RSR,0.0002243518829345703
Standard,0.0007927440225272927
RSR,0.00023102760314941406
Standard,0.00036525726318359375
RSR,0.0002167224884033203
Standard,0.00031948089599609375
RSR,0.00026106834411621094
Standard,0.0003216266632080078
RSR,0.00020933151245117188
Standard,0.00033872127865334524
RSR,0.0002486705780029297
Standard,0.00035415822354283553
RSR,0.00019812583923339844
Standard,0.0008804004777175242
RSR,0.00020933151245117188
Standard,0.0003218650817871094
RSR,0.0002503395080566406
Standard,0.0003495216369628906
RSR,0.00022983551025390625
Standard,0.0006274506400056557
RSR,0.0002830028533935547
Standard,0.0003116130828857422
RSR,0.00020432472229003906
Standard,0.0003154277801513672
RSR,0.0002009868621826172
Standard,0.0003020763397216797
RSR,0.00019693374633789062
Standard,0.0007524301023977407
RSR,0.00022149085998535156
Standard,0.0003304481506347656
RSR,0.0002467632293701172
Standard,0.00030803680419921875
RSR,0.00021886825561523438
Standard,0.0003502368927001953
RSR,0.0002071857452392578
Standard,0.00029587745666503906
RSR,0.0002429485321044922
Standard,0.00033354759216308594
RSR,0.0002219676971435547
Standard,0.0002894401550292969
RSR,0.00019788742065429688
Standard,0.000913186389442462
RSR,0.0002117156982421875
Standard,0.0006328719360149149
RSR,0.00027060508728027344
Standard,0.0003306865692138672
RSR,0.00023126602172851562
Standard,0.0003781318664550781
RSR,0.00020766258239746094
Standard,0.0003154277801513672
RSR,0.00020360946655273438
Standard,0.0008272564910206168
RSR,0.00019598007202148438
Standard,0.0008399741496056204
RSR,0.0002300739288330078
Standard,0.00032019615173339844
RSR,0.00023937225341796875
Standard,0.0003750324249267578
RSR,0.00023865699768066406
Standard,0.000339508056640625
RSR,0.000244140625
Standard,0.0003170967102050781
RSR,0.00030350685119628906
Standard,0.0003364086151123047
RSR,0.0002009868621826172
Standard,1.861632714818717e-05
RSR,0.00020956993103027344
Standard,0.0002741813659667969
RSR,0.0001957416534423828
Standard,0.00022274379987395344
RSR,0.0002129077911376953
Standard,3.7460053698315844e-05
RSR,0.0002117156982421875
Standard,0.00030159950256347656
RSR,0.0002219676971435547
Standard,0.00034752552641992187
RSR,0.00021123886108398438
Standard,0.0003108978271484375
RSR,0.0002200603485107422
Standard,0.00031256675720214844
RSR,0.0002529621124267578
Standard,0.0002894401550292969
RSR,0.00022983551025390625
Standard,0.0002833245768054987
RSR,0.0002658367156982422
Standard,0.000817286170120465
RSR,0.0002429485321044922
Standard,0.000301361083984375
RSR,0.0002105236053466797
Standard,0.00031256675720214844
RSR,0.00024271011352539062
Standard,0.0003535747528076172
RSR,0.0002143383026123047
Standard,0.00032782554626464844
RSR,0.0002052783966064453
Standard,0.0002987384796142578
RSR,0.00020766258239746094
Standard,0.0004843076231810676
RSR,0.00022482872009277344
Standard,8.957396969048148e-05
RSR,0.00020956993103027344
Standard,9.036064147949219e-05
RSR,0.0002124309539794922
Standard,0.00032973289489746094
RSR,0.00022292137145996094
Standard,0.0003294944763183594
RSR,0.00021457672119140625
Standard,0.0009023447202463325
RSR,0.0001914501190185547
Standard,0.00031757354736328125
RSR,0.0002524852752685547
Standard,0.00032591819763183594
RSR,0.000278472900390625
Standard,0.0003504753112792969
RSR,0.0002315044403076172
Standard,0.0003402233123779297
RSR,0.0002105236053466797
Standard,0.0003142356872558594
RSR,0.00020956993103027344
Standard,0.0003066062927246094
RSR,0.00020813941955566406
Standard,0.0008760383604491298
RSR,0.0002338886260986328
Standard,0.0005116263528784029
RSR,0.00020360946655273438
Standard,0.0002799034118652344
RSR,0.00024056434631347656
Standard,0.0003292560577392578
RSR,0.00022363662719726562
Standard,0.0003674030303955078
RSR,0.00021338462829589844
Standard,0.00031447410583496094
RSR,0.00020766258239746094
Standard,0.00031065940856933594
RSR,0.00022220611572265625
Standard,0.00039076805114746094
RSR,0.0002033710479736328
Standard,0.00030629051529572273
RSR,0.00018906593322753906
Standard,0.0001232099741238384
RSR,0.00021076202392578125
Standard,2.9832967297843903e-05
RSR,0.00022411346435546875
Standard,0.00014058845670399223
RSR,0.0002391338348388672
Standard,0.0003116130828857422
RSR,0.00020503997802734375
Standard,0.0003113746643066406
RSR,0.0002713203430175781
Standard,0.0003559589385986328
RSR,0.00019931793212890625
Standard,0.0009534289149942133
RSR,0.00019311904907226562
Standard,0.0007160799087517024
RSR,0.0002086162567138672
Standard,0.0005945475558716774
RSR,0.00020194053649902344
Standard,0.0006906515500797247
RSR,0.00024175643920898438
Standard,0.0006328388999955612
RSR,0.00022339820861816406
Standard,0.00030732154846191406
RSR,0.0001990795135498047
Standard,0.0002982616424560547
RSR,0.0002319812774658203
Standard,0.00032639503479003906
RSR,0.00020432472229003906
Standard,0.0002872943878173828
RSR,0.0002200603485107422
Standard,0.0005698625736627653
RSR,0.000255584716796875
Standard,0.00039005279541015625
RSR,0.00021195411682128906
Standard,0.0003559589385986328
RSR,0.0002067089080810547
Standard,0.0003188107919943193
RSR,0.0002048015594482422
Standard,0.0009634042701750585
RSR,0.00020122528076171875
